dtrace: system integrity protection is on, some features will not be available
	PID/THRD  SYSCALL(args) 		 = return
dtrace: error on enabled probe ID 1747 (ID 575: syscall::sysctl:return): invalid kernel access in action #11 at DIF offset 28
dtrace: error on enabled probe ID 1747 (ID 575: syscall::sysctl:return): invalid kernel access in action #11 at DIF offset 28
dtrace: error on enabled probe ID 1747 (ID 575: syscall::sysctl:return): invalid kernel access in action #11 at DIF offset 28
dtrace: error on enabled probe ID 1747 (ID 575: syscall::sysctl:return): invalid kernel access in action #11 at DIF offset 28
dtrace: error on enabled probe ID 1747 (ID 575: syscall::sysctl:return): invalid kernel access in action #11 at DIF offset 28
dtrace: error on enabled probe ID 1747 (ID 575: syscall::sysctl:return): invalid kernel access in action #11 at DIF offset 28
 3470/0x68a03:  fork()		 = 0 0
 3472/0x68a0d:  shared_region_check_np(0xFFFFFFFFFFFFFFFF, 0x0, 0x0)		 = 0 0
 3471/0x68a0c:  mprotect(0x10633D000, 0x1000, 0x0)		 = 0 0
 3471/0x68a0c:  mprotect(0x10633E000, 0x1000, 0x0)		 = 0 0dtrace: error on enabled probe ID 1747 (ID 575: syscall::sysctl:return): invalid kernel access in action #11 at DIF offset 28
dtrace: error on enabled probe ID 1747 (ID 575: syscall::sysctl:return): invalid kernel access in action #11 at DIF offset 28

 3471/0x68a0c:  mprotect(0x106345000, 0x1000, 0x0)		 = 0 0
 3472/0x68a0d:  access("/AppleInternal/XBS/.isChrooted\0", 0x0, 0x0)		 = -1 2
 3471/0x68a0c:  mprotect(0x106331000, 0xC8, 0x1)		 = 0 0
 3471/0x68a0c:  mprotect(0x106331000, 0xC8, 0x3)		 = 0 0
 3471/0x68a0c:  mprotect(0x106331000, 0xC8, 0x1)		 = 0 0
 3472/0x68a0d:  bsdthread_register(0x7FF811B03848, 0x7FF811B03834, 0x2000)		 = 1073742303 0
 3471/0x68a0c:  mprotect(0x106346000, 0x1000, 0x1)		 = 0 0
 3471/0x68a0c:  mprotect(0x106347000, 0xC8, 0x1)		 = 0 0
 3471/0x68a0c:  mprotect(0x106347000, 0xC8, 0x3)		 = 0 0
 3471/0x68a0c:  mprotect(0x106347000, 0xC8, 0x1)		 = 0 0
 3472/0x68a0d:  getpid(0x0, 0x0, 0x0)		 = 3472 0
 3471/0x68a0c:  mprotect(0x106331000, 0xC8, 0x3)		 = 0 0
 3472/0x68a0d:  shm_open(0x7FF811996CE1, 0x0, 0x11995121)		 = 3 0
 3471/0x68a0c:  mprotect(0x106331000, 0xC8, 0x1)		 = 0 0
 3472/0x68a0d:  fstat64(0x3, 0x7FF7B7B02950, 0x0)		 = 0 0
 3471/0x68a0c:  mprotect(0x106346000, 0x1000, 0x3)		 = 0 0
 3471/0x68a0c:  mprotect(0x106346000, 0x1000, 0x1)		 = 0 0
 3472/0x68a0d:  mmap(0x0, 0x7000, 0x1, 0x40001, 0x3, 0x0)		 = 0x1083FE000 0
 3472/0x68a0d:  close(0x3)		 = 0 0
 3472/0x68a0d:  csops(0xD90, 0x0, 0x7FF7B7B02A84)		 = 0 0
 3471/0x68a0c:  issetugid(0x0, 0x0, 0x0)		 = 0 0
 3472/0x68a0d:  ioctl(0x2, 0x4004667A, 0x7FF7B7B02A14)		 = -1 25
 3472/0x68a0d:  ioctl(0x2, 0x40487413, 0x7FF7B7B02A18)		 = -1 25
 3472/0x68a0d:  mprotect(0x10840A000, 0x1000, 0x0)		 = 0 0
 3472/0x68a0d:  mprotect(0x108411000, 0x1000, 0x0)		 = 0 0
 3472/0x68a0d:  mprotect(0x108412000, 0x1000, 0x0)		 = 0 0
 3472/0x68a0d:  mprotect(0x108419000, 0x1000, 0x0)		 = 0 0
 3472/0x68a0d:  mprotect(0x108405000, 0xC8, 0x1)		 = 0 0
 3472/0x68a0d:  mprotect(0x108405000, 0xC8, 0x3)		 = 0 0
 3472/0x68a0d:  mprotect(0x108405000, 0xC8, 0x1)		 = 0 0
 3471/0x68a0c:  getentropy(0x7FF7B9BD60E0, 0x20, 0x0)		 = 0 0
 3472/0x68a0d:  mprotect(0x10841A000, 0x1000, 0x1)		 = 0 0
 3472/0x68a0d:  mprotect(0x10841B000, 0xC8, 0x1)		 = 0 0
 3472/0x68a0d:  mprotect(0x10841B000, 0xC8, 0x3)		 = 0 0
 3472/0x68a0d:  mprotect(0x10841B000, 0xC8, 0x1)		 = 0 0
 3472/0x68a0d:  mprotect(0x108405000, 0xC8, 0x3)		 = 0 0
 3472/0x68a0d:  mprotect(0x108405000, 0xC8, 0x1)		 = 0 0
 3472/0x68a0d:  mprotect(0x10841A000, 0x1000, 0x3)		 = 0 0
 3472/0x68a0d:  mprotect(0x10841A000, 0x1000, 0x1)		 = 0 0
 3472/0x68a0d:  issetugid(0x0, 0x0, 0x0)		 = 0 0
 3471/0x68a0c:  getattrlist("/Users/sedimav/Desktop/\320\236\320\241/LAB1/child\0", 0x7FF7B9BD6910, 0x7FF7B9BD692C)		 = 0 0
 3471/0x68a0c:  access("/Users/sedimav/Desktop/\320\236\320\241/LAB1\0", 0x4, 0x0)		 = 0 0
 3471/0x68a0c:  open("/Users/sedimav/Desktop/\320\236\320\241/LAB1\0", 0x0, 0x0)		 = 3 0
 3471/0x68a0c:  fstat64(0x3, 0x7FE8DD704440, 0x0)		 = 0 0
 3472/0x68a0d:  getentropy(0x7FF7B7B020E0, 0x20, 0x0)		 = 0 0
 3471/0x68a0c:  csrctl(0x0, 0x7FF7B9BD6B1C, 0x4)		 = -1 1
 3471/0x68a0c:  fgetattrlist(0x3, 0x7FF7B9BD6BD0, 0x7FF7B9BD6B30)		 = 0 0
 3471/0x68a0c:  __mac_syscall(0x7FF81F0EFD45, 0x2, 0x7FF7B9BD6B30)		 = 0 0
 3471/0x68a0c:  fcntl(0x3, 0x32, 0x7FF7B9BD6820)		 = 0 0
 3471/0x68a0c:  close(0x3)		 = 0 0
 3471/0x68a0c:  open("/Users/sedimav/Desktop/\320\236\320\241/LAB1/Info.plist\0", 0x0, 0x0)		 = -1 2
 3471/0x68a0c:  proc_info(0x2, 0xD8F, 0xD)		 = 64 0
 3472/0x68a0d:  getattrlist("/Users/sedimav/Desktop/\320\236\320\241/LAB1/child\0", 0x7FF7B7B02910, 0x7FF7B7B0292C)		 = 0 0
 3471/0x68a0c:  csops_audittoken(0xD8F, 0x10, 0x7FF7B9BD6B40)		 = -1 22
 3472/0x68a0d:  access("/Users/sedimav/Desktop/\320\236\320\241/LAB1\0", 0x4, 0x0)		 = 0 0
 3472/0x68a0d:  open("/Users/sedimav/Desktop/\320\236\320\241/LAB1\0", 0x0, 0x0)		 = 3 0
 3472/0x68a0d:  fstat64(0x3, 0x7FBBDFF04440, 0x0)		 = 0 0
 3472/0x68a0d:  csrctl(0x0, 0x7FF7B7B02B1C, 0x4)		 = -1 1
 3472/0x68a0d:  fgetattrlist(0x3, 0x7FF7B7B02BD0, 0x7FF7B7B02B30)		 = 0 0
 3472/0x68a0d:  __mac_syscall(0x7FF81F0EFD45, 0x2, 0x7FF7B7B02B30)		 = 0 0
 3472/0x68a0d:  fcntl(0x3, 0x32, 0x7FF7B7B02820)		 = 0 0
 3472/0x68a0d:  close(0x3)		 = 0 0
 3472/0x68a0d:  open("/Users/sedimav/Desktop/\320\236\320\241/LAB1/Info.plist\0", 0x0, 0x0)		 = -1 2
 3472/0x68a0d:  proc_idtrace: error on enabled probe ID 1747 (ID 575: syscall::sysctl:return): invalid kernel access in action #11 at DIF offset 28
dtrace: error on enabled probe ID 1747 (ID 575: syscall::sysctl:return): invalid kernel access in action #11 at DIF offset 28
dtrace: error on enabled probe ID 1719 (ID 177: syscall::read:return): invalid kernel access in action #13 at DIF offset 68
dtrace: error on enabled probe ID 1719 (ID 177: syscall::read:return): invalid kernel access in action #13 at DIF offset 68
dtrace: error on enabled probe ID 1717 (ID 179: syscall::write:return): invalid kernel access in action #13 at DIF offset 68
dtrace: error on enabled probe ID 1719 (ID 177: syscall::read:return): invalid kernel access in action #13 at DIF offset 68
nfo(0x2, 0xD90, 0xD)		 = 64 0
 3472/0x68a0d:  csops_audittoken(0xD90, 0x10, 0x7FF7B7B02B40)		 = -1 22
 3471/0x68a0c:  open("trace1.txt\0", 0x601, 0x1A4)		 = 3 0
 3471/0x68a0c:  close(0x3)		 = 0 0
 3472/0x68a0d:  open("trace2.txt\0", 0x601, 0x1A4)		 = 3 0
 3470/0x68a03:  wait4(0xD8F, 0x0, 0x0)		 = 3471 0
 3472/0x68a0d:  close(0x3)		 = 0 0
 3470/0x68a03:  wait4(0xD90, 0x0, 0x0)		 = 3472 0

